depth_metres,twtt_seconds,interval_velocity_time_mean,vint_std,rms_velocity_time_mean,vrms_std
552.0,0.753859473187435,1464.0,2.0,1456.0,3.0
554.0,0.7565425234472964,1464.0,2.0,1456.0,3.0
556.0,0.7592244645304744,1464.0,2.0,1456.0,3.0
558.0,0.76190743087716,1464.0,2.0,1456.0,3.0
560.0,0.7645882126749591,1464.0,2.0,1456.0,3.0
562.0,0.7672723374926441,1464.0,2.0,1456.0,3.0
564.0,0.7699588861641101,1464.0,2.0,1456.0,3.0
566.0,0.7726426043352814,1464.0,2.0,1456.0,3.0
568.0,0.7753298211952092,1464.0,2.0,1456.0,3.0
570.0,0.7780061433029606,1464.0,2.0,1456.0,3.0
572.0,0.7806823323143132,1464.0,2.0,1456.0,3.0
574.0,0.7833652771334868,1464.0,2.0,1456.0,3.0
576.0,0.7860524043335622,1464.0,2.0,1456.0,3.0
578.0,0.7887359793912647,1464.0,2.0,1456.0,3.0
579.0,0.791413643008324,1464.0,2.0,1456.0,3.0
581.0,0.7940972134773894,1464.0,2.0,1456.0,3.0
583.0,0.7967820890816185,1464.0,2.0,1456.0,3.0
585.0,0.7994648781895225,1464.0,2.0,1456.0,3.0
587.0,0.802148766631179,1465.0,2.0,1456.0,3.0
589.0,0.8048268523509091,1465.0,2.0,1456.0,3.0
591.0,0.8075097356733261,1465.0,2.0,1456.0,3.0
593.0,0.8101884954111054,1465.0,2.0,1456.0,3.0
595.0,0.8128689665003902,1465.0,2.0,1456.0,3.0
597.0,0.8155557471900786,1465.0,2.0,1456.0,3.0
599.0,0.818229904430128,1465.0,2.0,1456.0,3.0
601.0,0.8209131877792438,1465.0,2.0,1456.0,3.0
603.0,0.8235907045009719,1465.0,2.0,1457.0,3.0
605.0,0.826274848387007,1465.0,2.0,1457.0,3.0
607.0,0.8289574841739671,1465.0,2.0,1457.0,3.0
609.0,0.8316370711249524,1465.0,2.0,1457.0,3.0
611.0,0.8343146134815494,1465.0,2.0,1457.0,3.0
613.0,0.8369966130327429,1465.0,2.0,1457.0,3.0
615.0,0.8396749863196404,1465.0,2.0,1457.0,3.0
